id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
219,,EN,Entry-level,FT,AI Scientist,1335000,INR,18102,IN,100,AS,S
220,2020,SE,Senior-level,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S
221,2020,MI,Mid-level,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
222,,MI,Mid-level,FT,Data Scientist,115000,USD,115000,US,50,US,L
223,,SE,Senior-level,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
224,,MI,Mid-level,FT,Lead Data Analyst,1450000,INR,19661,IN,100,IN,L
225,,EN,Entry-level,PT,AI Scientist,12000,USD,12000,BR,100,US,S
226,,MI,Mid-level,FT,Data Analyst,75000,USD,75000,US,0,US,L
227,,MI,Mid-level,FT,Data Analyst,62000,USD,62000,US,0,US,L
228,,MI,Mid-level,FT,Data Scientist,73000,USD,73000,US,0,US,L
229,,MI,Mid-level,FT,Data Engineer,38400,EUR,45773,NL,100,NL,L
230,2020,SE,Senior-level,FT,Data Science Manager,190200,USD,190200,US,100,US,M
231,2020,MI,Mid-level,FT,Data Scientist,118000,USD,118000,US,100,US,M
232,2020,MI,Mid-level,FT,Data Scientist,138350,USD,138350,US,100,US,M
233,2020,MI,Mid-level,FT,Data Engineer,130800,USD,130800,ES,100,US,M
234,2020,SE,Senior-level,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
235,,SE,Senior-level,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
236,,MI,Mid-level,FT,Data Scientist,160000,SGD,119353,SG,100,IL,M
237,,MI,Mid-level,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
238,,MI,Mid-level,FT,Data Engineer,24000,EUR,28608,MT,50,MT,L
239,,SE,Senior-level,FT,Data Specialist,165000,USD,165000,US,100,US,L
240,2020,SE,Senior-level,FT,Data Scientist,412000,USD,412000,US,100,US,L
241,,MI,Mid-level,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
242,2020,EN,Entry-level,FT,Data Scientist,105000,USD,105000,US,100,US,S
243,2020,EN,Entry-level,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
244,,SE,Senior-level,FT,Data Science Manager,7000000,INR,94917,IN,50,IN,L
